Job Title,Years of Experience,Department,Salary Range,Work Location,Training Hours,Satisfaction Score,Last Evaluation Score,Average Monthly Hours,Attrition
Assistant,30,Marketing,Low,Office,64,8,8,222,1
Manager,22,Marketing,Medium,Remote,73,1,1,137,0
Consultant,7,Marketing,High,Remote,10,7,0,141,0
Executive,0,Engineering,High,Office,90,4,6,208,0
Consultant,30,Marketing,High,Remote,86,9,7,180,0
Director,24,Customer Support,Medium,Remote,83,5,1,106,0
Consultant,3,Engineering,Medium,Remote,4,2,3,155,0
Director,23,Customer Support,High,Office,76,7,7,232,1
Director,30,Customer Support,High,Remote,73,1,3,267,0
Director,25,Marketing,Low,Remote,48,0,8,160,0
Director,6,Engineering,Low,Office,50,10,0,164,0
Director,13,Marketing,Medium,Remote,35,0,9,293,0
Assistant,12,Marketing,Low,Remote,15,7,6,295,0
Consultant,9,Marketing,High,Office,6,1,2,292,0
Assistant,22,Engineering,Medium,Remote,95,4,10,192,0
Assistant,17,Engineering,Low,Office,88,1,9,184,0
Manager,0,Marketing,Medium,Remote,43,10,10,269,0
Manager,3,Customer Support,High,Remote,25,3,10,262,0
Manager,27,Customer Support,Low,Office,35,8,2,293,1
Executive,15,Engineering,Low,Office,52,1,10,124,0
Manager,15,Sales,Low,Office,91,3,6,105,0
Consultant,17,Marketing,High,Remote,43,9,5,107,0
Assistant,7,Marketing,Medium,Remote,11,4,2,262,0
Consultant,9,Sales,Low,Office,89,9,1,152,0
Manager,15,Engineering,Medium,Office,67,9,10,118,0
Executive,22,Customer Support,Medium,Office,22,4,10,108,0
Executive,23,Engineering,Medium,Remote,87,4,5,260,1
Assistant,10,Customer Support,High,Remote,94,9,9,107,0
Consultant,5,Customer Support,High,Office,29,9,6,137,0
Director,0,Engineering,Low,Remote,62,1,8,259,0
Consultant,29,Marketing,Low,Remote,2,7,8,122,0
Manager,28,Marketing,Medium,Remote,79,10,8,261,1
Director,28,Marketing,Medium,Office,33,4,10,186,0
Executive,11,Customer Support,Medium,Remote,91,5,9,273,1
Assistant,24,Marketing,High,Office,48,7,0,259,0
Assistant,5,Customer Support,High,Office,43,7,3,228,0
Executive,27,Marketing,Low,Office,40,9,3,106,0
Manager,12,Engineering,Medium,Office,47,6,9,206,0
Executive,25,Sales,Medium,Office,70,7,7,211,0
Manager,16,Customer Support,High,Office,7,9,2,123,0
Director,0,Engineering,Low,Remote,6,10,0,229,0
Executive,7,Customer Support,Medium,Office,36,6,2,245,0
Manager,21,Customer Support,Medium,Remote,54,9,5,182,0
Director,7,Engineering,Low,Remote,70,5,6,205,0
Executive,23,Marketing,Medium,Remote,49,4,8,199,0
Assistant,30,Customer Support,High,Remote,81,4,4,155,0
Executive,10,Sales,Low,Office,20,7,4,191,0
Consultant,13,Sales,Medium,Remote,33,0,2,131,0
Executive,23,Engineering,Medium,Office,48,1,2,176,0
Consultant,9,Sales,High,Office,26,0,8,169,0
Director,14,Engineering,High,Remote,7,9,2,192,0
Executive,6,Engineering,High,Office,33,6,2,109,0
Director,6,Customer Support,Medium,Remote,17,8,8,222,0
Director,9,Engineering,Medium,Office,50,6,3,267,0
Manager,3,Engineering,Medium,Office,11,8,5,173,0
Director,24,Marketing,Low,Office,85,3,0,133,0
Director,27,Customer Support,High,Remote,50,6,10,183,0
Executive,17,Sales,Low,Remote,62,9,1,210,0
Executive,26,Marketing,High,Office,39,9,10,132,0
Assistant,24,Marketing,Medium,Office,21,6,2,187,0
Manager,9,Customer Support,Low,Remote,7,9,1,196,0
Director,18,Customer Support,Low,Office,27,9,10,156,0
Manager,13,Marketing,High,Remote,49,1,9,249,0
Consultant,12,Customer Support,Low,Remote,46,1,2,275,0
Director,14,Customer Support,Low,Remote,55,7,4,131,0
Manager,15,Engineering,Medium,Remote,31,1,0,224,0
Assistant,1,Customer Support,High,Office,10,0,0,207,0
Assistant,28,Engineering,Low,Remote,20,0,10,272,0
Director,3,Marketing,Medium,Remote,25,0,6,101,0
Consultant,20,Marketing,Low,Remote,13,5,8,282,0
Assistant,17,Sales,Medium,Remote,78,4,8,158,0
Assistant,28,Customer Support,Low,Office,13,6,6,132,0
Consultant,30,Marketing,Medium,Remote,75,2,10,195,0
Manager,16,Engineering,Medium,Office,99,4,10,204,0
Assistant,9,Marketing,High,Remote,2,1,1,113,0
Executive,26,Customer Support,Medium,Remote,56,10,10,295,1
Assistant,20,Sales,Low,Office,6,8,6,293,0
Manager,8,Sales,Medium,Remote,38,8,8,158,0
Manager,14,Marketing,Medium,Office,56,3,6,114,0
Director,27,Sales,Low,Remote,64,1,1,258,0
Executive,11,Customer Support,Low,Office,24,9,6,128,0
Manager,30,Customer Support,Medium,Office,30,7,3,211,0
Consultant,20,Sales,Low,Office,85,3,7,208,0
Executive,27,Engineering,Medium,Office,9,4,2,222,0
Executive,26,Sales,Medium,Office,81,3,4,300,1
Consultant,25,Sales,Medium,Remote,76,1,2,146,0
Assistant,8,Marketing,Low,Office,71,5,6,284,0
Consultant,13,Engineering,High,Office,8,0,2,157,0
Consultant,12,Sales,High,Remote,78,7,9,192,0
Assistant,27,Marketing,Medium,Office,7,10,4,184,0
Assistant,25,Marketing,Medium,Remote,96,0,0,258,0
Assistant,5,Marketing,Low,Remote,98,4,3,152,0
Assistant,18,Customer Support,High,Office,18,8,5,185,0
Assistant,3,Marketing,High,Office,29,0,1,163,0
Consultant,19,Marketing,High,Office,8,9,5,181,0
Director,16,Customer Support,Low,Office,82,6,9,101,0
Director,18,Customer Support,Low,Office,46,6,6,159,0
Manager,2,Marketing,Low,Office,45,4,7,183,0
Director,28,Sales,Medium,Remote,89,3,2,275,1
Director,13,Engineering,Low,Remote,0,8,9,147,0
Consultant,16,Customer Support,Medium,Remote,2,4,10,217,0
Assistant,12,Engineering,Medium,Remote,33,0,2,288,0
Assistant,8,Customer Support,Medium,Office,24,8,4,231,0
Consultant,26,Marketing,Medium,Office,29,10,2,125,0
Director,0,Customer Support,Low,Remote,0,4,8,183,0
Consultant,24,Marketing,Low,Office,17,8,6,249,0
Manager,16,Engineering,High,Office,32,10,4,270,0
Assistant,15,Sales,High,Remote,8,10,4,119,0
Executive,17,Marketing,Medium,Remote,6,7,0,192,0
Manager,1,Engineering,High,Remote,29,9,8,147,0
Manager,13,Engineering,High,Remote,76,6,1,220,0
Consultant,21,Customer Support,High,Office,80,10,6,194,0
Director,22,Marketing,Medium,Remote,12,5,6,160,0
Assistant,26,Engineering,High,Office,12,8,1,250,0
Executive,16,Sales,Low,Remote,41,3,7,160,0
Manager,2,Customer Support,Medium,Remote,100,4,7,179,0
Executive,1,Customer Support,Low,Remote,73,0,8,290,0
Director,7,Engineering,Medium,Office,77,6,1,118,0
Director,24,Marketing,Low,Office,62,5,0,112,0
Executive,28,Customer Support,High,Office,68,10,8,229,1
Assistant,1,Marketing,Medium,Office,35,6,2,278,0
Director,1,Engineering,Low,Remote,34,0,9,174,0
Executive,25,Engineering,Medium,Remote,45,6,1,100,0
Manager,30,Marketing,Low,Remote,44,6,9,268,1
Executive,8,Sales,High,Remote,55,7,1,237,0
Executive,29,Customer Support,Medium,Office,86,1,1,102,0
Consultant,19,Engineering,Medium,Remote,4,0,7,107,0
Director,20,Sales,Low,Remote,43,0,2,179,0
Assistant,28,Sales,Low,Remote,27,7,0,263,0
Assistant,26,Marketing,High,Office,86,6,7,206,0
Consultant,24,Marketing,Low,Office,41,8,1,139,0
Assistant,5,Marketing,Low,Office,97,1,5,266,0
Executive,25,Sales,Low,Remote,30,3,7,274,0
Consultant,11,Customer Support,High,Office,6,7,9,218,0
Manager,24,Marketing,High,Office,6,5,8,287,0
Director,8,Customer Support,Medium,Remote,3,1,0,107,0
Director,6,Marketing,High,Office,31,9,8,173,0
Director,29,Sales,Low,Remote,27,1,7,264,0
Executive,11,Customer Support,Medium,Remote,55,6,5,290,0
Manager,25,Customer Support,High,Office,3,8,4,126,0
Consultant,24,Sales,High,Remote,7,7,5,194,0
Consultant,4,Customer Support,Low,Remote,13,1,1,230,0
Director,15,Sales,Low,Remote,29,2,10,266,0
Manager,4,Sales,High,Remote,2,7,2,105,0
Manager,11,Engineering,Medium,Office,1,3,8,109,0
Manager,23,Marketing,Low,Remote,9,5,2,256,0
Assistant,25,Engineering,High,Office,69,1,9,128,0
Assistant,19,Sales,High,Remote,70,0,6,247,0
Director,8,Sales,Low,Remote,15,5,10,178,0
Manager,22,Customer Support,Medium,Remote,69,7,3,165,0
Manager,6,Sales,Medium,Remote,79,4,10,111,0
Consultant,28,Sales,Medium,Remote,90,0,8,112,0
Consultant,30,Sales,Low,Remote,75,9,3,207,0
Director,18,Marketing,Low,Remote,85,1,9,266,1
Manager,19,Engineering,Low,Office,78,2,9,266,1
Director,22,Engineering,Medium,Office,21,1,5,201,0
Consultant,10,Marketing,Medium,Office,34,8,1,272,0
Consultant,26,Marketing,Low,Remote,78,9,6,268,1
Assistant,29,Marketing,Low,Office,86,1,2,190,0
Director,20,Engineering,Low,Remote,48,2,0,270,0
Director,11,Engineering,Medium,Office,1,8,6,161,0
Manager,2,Sales,High,Office,65,10,4,230,0
Manager,16,Engineering,High,Remote,18,2,10,108,0
Assistant,6,Customer Support,Medium,Remote,68,7,6,271,0
Executive,21,Engineering,Low,Remote,3,7,0,224,0
Executive,9,Marketing,Low,Remote,91,10,4,261,1
Executive,30,Engineering,Low,Remote,81,2,1,118,0
Director,22,Sales,Low,Office,40,9,0,189,0
Director,14,Engineering,Medium,Remote,55,9,5,186,0
Consultant,29,Marketing,High,Remote,54,2,4,117,0
Director,1,Customer Support,High,Remote,30,7,3,273,0
Director,12,Marketing,Medium,Office,21,2,0,203,0
Director,27,Customer Support,Low,Remote,74,3,4,268,1
Assistant,3,Sales,High,Office,47,4,6,225,0
Director,17,Sales,Medium,Office,79,6,0,148,0
Manager,23,Engineering,Low,Office,3,0,3,201,0
Manager,22,Sales,High,Office,20,7,5,279,0
Consultant,0,Sales,Medium,Remote,40,2,7,173,0
Assistant,1,Marketing,High,Remote,44,6,6,270,0
Manager,1,Marketing,High,Remote,88,10,6,237,0
Assistant,3,Engineering,Medium,Remote,83,9,7,184,0
Assistant,2,Engineering,Medium,Office,7,10,6,265,0
Consultant,16,Engineering,High,Office,8,2,3,137,0
Assistant,27,Engineering,High,Remote,17,8,10,274,1
Director,13,Marketing,Medium,Remote,30,9,5,234,0
Assistant,1,Engineering,Low,Remote,34,4,1,111,0
Consultant,15,Engineering,Low,Office,29,2,7,151,0
Consultant,10,Sales,Low,Office,17,2,2,204,0
Consultant,24,Engineering,Low,Office,82,3,3,260,0
Manager,12,Customer Support,Medium,Remote,40,4,1,191,0
Director,0,Sales,Low,Office,23,4,8,123,0
Manager,24,Marketing,High,Office,85,7,1,275,1
Executive,22,Customer Support,Low,Office,47,9,5,130,0
Director,1,Engineering,Medium,Remote,13,5,2,181,0
Assistant,1,Sales,Low,Office,18,4,5,122,0
Consultant,20,Engineering,Low,Remote,59,1,3,170,0
Executive,28,Sales,Medium,Remote,92,4,7,171,0
Director,4,Engineering,Low,Remote,21,6,2,217,0
Manager,3,Customer Support,Medium,Office,29,10,7,242,0
Consultant,11,Marketing,Low,Remote,14,2,2,137,0
Manager,25,Customer Support,Medium,Office,20,6,4,255,0
Director,25,Customer Support,Low,Office,25,0,10,190,0
Director,28,Marketing,High,Remote,99,5,1,226,0
Executive,27,Sales,High,Remote,11,0,5,120,0
Assistant,2,Sales,Medium,Remote,6,6,6,126,0
Manager,19,Marketing,Medium,Office,74,5,7,274,1
Executive,9,Engineering,Medium,Remote,83,9,3,155,0
Consultant,19,Sales,High,Office,34,10,8,224,0
Assistant,17,Customer Support,Medium,Remote,67,0,1,205,0
Executive,20,Marketing,Low,Office,1,8,7,241,0
Manager,30,Customer Support,Medium,Remote,19,4,5,120,0
Director,20,Sales,Medium,Remote,46,10,3,113,0
Consultant,20,Marketing,Low,Office,83,6,1,206,0
Manager,26,Marketing,Low,Remote,11,0,3,169,0
Assistant,30,Sales,High,Remote,52,10,2,127,0
Assistant,26,Sales,Low,Remote,16,10,3,212,0
Director,9,Marketing,Low,Remote,17,7,3,264,0
Director,0,Engineering,Medium,Office,23,7,10,201,0
Consultant,5,Marketing,High,Office,71,8,6,166,0
Consultant,10,Engineering,Low,Office,36,1,0,223,0
Director,1,Customer Support,High,Office,29,5,8,132,0
Director,6,Engineering,Low,Office,83,9,4,111,0
Assistant,19,Engineering,High,Remote,51,4,2,239,0
Director,30,Sales,Low,Office,22,5,6,278,0
Executive,20,Marketing,Medium,Remote,36,4,6,262,0
Manager,20,Customer Support,High,Office,73,10,7,202,0
Director,20,Marketing,High,Remote,96,0,9,111,0
Consultant,17,Engineering,Low,Office,23,1,3,118,0
Executive,20,Engineering,High,Remote,99,2,8,194,0
Consultant,18,Engineering,Low,Office,79,6,1,158,0
Executive,3,Marketing,High,Remote,49,9,5,216,0
Director,12,Engineering,High,Remote,91,8,2,112,0
Manager,17,Marketing,Medium,Remote,75,1,7,118,0
Consultant,19,Customer Support,Medium,Remote,19,9,7,263,0
Executive,28,Customer Support,High,Remote,46,0,5,231,0
Assistant,24,Marketing,Medium,Office,17,0,3,112,0
Director,23,Customer Support,High,Remote,100,3,7,183,0
Manager,12,Sales,Low,Remote,25,8,5,233,0
Director,29,Engineering,High,Remote,70,3,8,143,0
Assistant,30,Engineering,High,Office,42,2,6,175,0
Manager,26,Engineering,Medium,Remote,46,9,8,208,0
Assistant,27,Sales,Medium,Remote,84,7,7,180,0
Director,18,Engineering,Low,Office,42,8,3,235,0
Executive,16,Marketing,Low,Office,31,4,5,260,0
Director,0,Engineering,Low,Remote,6,1,6,220,0
Director,5,Marketing,High,Remote,86,3,3,151,0
Director,18,Customer Support,Low,Office,83,9,3,202,0
Consultant,19,Marketing,Low,Remote,83,7,9,216,0
Assistant,0,Marketing,Medium,Remote,31,1,2,189,0
Assistant,7,Marketing,Medium,Remote,89,8,9,182,0
Assistant,16,Engineering,Low,Office,99,10,5,112,0
Consultant,20,Sales,Low,Remote,87,4,10,219,0
Executive,21,Sales,High,Remote,64,6,1,237,0
Director,14,Marketing,High,Office,57,4,10,261,0
Executive,17,Engineering,Medium,Office,52,2,3,194,0
Consultant,6,Sales,Low,Office,91,1,7,254,0
Assistant,15,Customer Support,Low,Remote,89,2,2,285,0
Director,6,Customer Support,Low,Remote,33,1,7,294,0
Manager,16,Engineering,Low,Office,89,1,6,271,0
Manager,3,Customer Support,Low,Remote,99,1,6,168,0
Executive,11,Customer Support,High,Office,68,10,10,104,0
Assistant,12,Customer Support,High,Remote,55,1,8,264,0
Manager,3,Sales,Low,Remote,65,7,3,170,0
Executive,20,Customer Support,High,Remote,31,4,10,203,0
Consultant,0,Marketing,High,Remote,97,8,7,155,0
Executive,0,Marketing,Low,Remote,49,10,1,150,0
Executive,6,Customer Support,High,Remote,93,4,2,155,0
Executive,8,Marketing,Low,Office,23,0,3,269,0
Director,0,Sales,High,Remote,91,7,8,240,0
Executive,15,Engineering,Low,Office,45,2,0,133,0
Executive,17,Marketing,Low,Remote,2,9,6,199,0
Director,21,Customer Support,High,Office,9,10,1,261,0
Director,30,Engineering,High,Office,5,9,4,152,0
Consultant,14,Engineering,Medium,Remote,97,1,0,102,0
Assistant,5,Customer Support,Low,Remote,94,5,5,173,0
Manager,1,Marketing,Low,Remote,51,3,2,206,0
Manager,8,Sales,Low,Office,49,3,5,198,0
Executive,3,Marketing,Low,Remote,57,8,7,136,0
Consultant,12,Marketing,High,Remote,51,9,7,279,1
Executive,22,Sales,High,Remote,12,7,3,233,0
Manager,21,Engineering,Medium,Remote,58,2,6,248,0
Director,10,Sales,Low,Office,38,8,5,144,0
Assistant,12,Sales,Medium,Remote,52,0,1,232,0
Consultant,10,Customer Support,Medium,Office,57,6,5,102,0
Director,18,Customer Support,Medium,Office,19,6,1,119,0
Assistant,7,Marketing,Medium,Remote,62,1,3,160,0
Consultant,6,Customer Support,Medium,Remote,95,6,4,262,0
Consultant,24,Sales,High,Office,9,6,8,259,0
Manager,15,Sales,High,Remote,25,8,2,246,0
Director,2,Customer Support,Medium,Office,18,5,4,242,0
Consultant,16,Customer Support,High,Office,92,9,1,173,0
Consultant,17,Customer Support,High,Remote,60,10,2,156,0
Assistant,27,Sales,Medium,Remote,76,9,4,253,1
Manager,26,Engineering,High,Remote,33,8,6,169,0
Executive,14,Engineering,High,Office,83,2,5,210,0
Manager,27,Customer Support,Low,Office,43,7,1,189,0
Executive,16,Marketing,Medium,Remote,17,3,8,229,0
Director,10,Marketing,Low,Remote,97,10,7,148,0
Director,4,Engineering,Low,Office,71,0,8,275,0
Consultant,15,Customer Support,Medium,Office,15,6,8,259,0
Director,14,Sales,Low,Remote,86,2,4,230,0
Consultant,9,Marketing,Low,Office,95,3,10,247,0
Manager,13,Marketing,High,Remote,76,2,6,193,0
Director,1,Sales,Low,Office,25,5,6,264,0
Manager,15,Sales,Medium,Remote,64,9,9,208,0
Manager,18,Customer Support,High,Remote,65,0,8,247,0
Director,7,Sales,High,Office,76,9,8,159,0
Manager,14,Sales,High,Office,26,6,5,197,0
Director,9,Sales,Medium,Remote,3,9,2,286,0
Director,29,Engineering,Medium,Remote,50,7,7,180,0
Director,4,Sales,Medium,Remote,83,2,0,141,0
Executive,19,Marketing,Low,Remote,2,8,9,250,0
Manager,15,Customer Support,Low,Office,86,1,10,268,1
Assistant,20,Customer Support,High,Remote,65,9,3,172,0
Director,25,Customer Support,High,Office,15,10,9,126,0
Manager,21,Engineering,Medium,Office,73,9,1,180,0
Consultant,11,Marketing,Medium,Remote,27,8,4,273,0
Director,22,Sales,Low,Office,43,4,6,116,0
Director,29,Marketing,Low,Office,17,5,10,212,0
Assistant,12,Customer Support,Medium,Remote,1,1,0,229,0
Executive,8,Sales,Medium,Remote,77,4,3,114,0
Executive,16,Customer Support,Low,Remote,43,5,2,217,0
Director,19,Customer Support,High,Remote,19,4,3,284,0
Manager,27,Customer Support,High,Remote,55,3,5,268,0
Consultant,11,Marketing,Low,Office,22,7,9,172,0
Consultant,24,Marketing,Low,Remote,59,1,5,113,0
Manager,4,Customer Support,High,Remote,70,0,0,107,0
Director,23,Customer Support,Low,Office,44,1,2,175,0
Consultant,11,Sales,High,Remote,46,10,0,234,0
Executive,0,Customer Support,High,Remote,77,3,0,166,0
Manager,19,Customer Support,Low,Remote,36,0,0,253,0
Assistant,27,Customer Support,Medium,Office,7,8,2,102,0
Director,15,Customer Support,Medium,Remote,4,0,1,273,0
Manager,29,Marketing,Medium,Remote,22,4,3,231,0
Consultant,11,Customer Support,Medium,Remote,9,7,6,284,0
Director,8,Engineering,Medium,Remote,26,8,10,223,0
Executive,12,Customer Support,Medium,Remote,98,8,10,273,1
Director,16,Marketing,Medium,Office,0,7,1,113,0
Director,16,Engineering,Low,Remote,70,5,1,230,0
Executive,3,Engineering,Low,Remote,7,5,10,240,0
Executive,13,Customer Support,Medium,Remote,10,8,6,235,0
Director,18,Customer Support,Low,Remote,97,1,8,283,1
Executive,6,Marketing,High,Remote,27,2,10,229,0
Manager,26,Engineering,Medium,Office,33,5,2,201,0
Executive,2,Engineering,High,Office,42,7,9,215,0
Executive,0,Marketing,Low,Remote,83,6,7,145,0
Director,11,Customer Support,Medium,Remote,27,7,5,130,0
Manager,14,Sales,High,Office,48,4,5,190,0
Assistant,10,Sales,Low,Office,60,8,2,134,0
Assistant,9,Engineering,Medium,Office,36,5,9,161,0
Consultant,1,Engineering,Medium,Remote,2,9,8,273,0
Executive,25,Customer Support,High,Office,8,1,8,251,0
Executive,28,Sales,High,Remote,85,5,3,164,0
Manager,3,Engineering,High,Remote,88,10,9,189,0
Assistant,16,Customer Support,Low,Office,1,3,5,143,0
Consultant,16,Sales,High,Remote,22,4,4,198,0
Manager,27,Marketing,High,Remote,50,4,3,150,0
Executive,29,Engineering,High,Office,16,0,1,207,0
Assistant,7,Marketing,Medium,Remote,24,9,3,187,0
Consultant,22,Sales,High,Office,75,4,6,273,1
Director,13,Customer Support,High,Office,26,9,2,132,0
Assistant,23,Customer Support,Low,Office,19,10,2,291,0
Consultant,28,Sales,Low,Remote,72,8,10,253,1
Manager,3,Marketing,High,Office,86,7,2,200,0
Director,5,Customer Support,Low,Office,35,7,8,266,0
Consultant,30,Engineering,Low,Remote,27,2,0,157,0
Consultant,28,Marketing,Low,Office,28,8,4,214,0
Executive,18,Marketing,Medium,Remote,41,8,8,125,0
Assistant,26,Engineering,High,Remote,57,9,6,216,0
Executive,28,Sales,High,Office,31,6,0,174,0
Director,23,Customer Support,High,Office,11,5,3,192,0
Consultant,3,Marketing,Low,Remote,29,8,5,294,0
Executive,2,Customer Support,Low,Office,59,10,4,300,1
Assistant,19,Customer Support,Low,Remote,10,5,1,156,0
Director,5,Marketing,Medium,Office,100,2,0,169,0
Manager,26,Sales,Low,Remote,83,5,10,172,0
Executive,22,Marketing,Medium,Office,10,10,3,107,0
Director,6,Sales,High,Office,79,1,9,190,0
Manager,13,Engineering,Low,Remote,98,1,4,225,0
Executive,30,Sales,Medium,Office,49,6,3,133,0
Director,11,Sales,Medium,Office,0,7,2,168,0
Director,15,Marketing,Low,Remote,88,6,9,109,0
Executive,19,Customer Support,Medium,Remote,26,4,7,121,0
Director,7,Customer Support,Low,Remote,31,3,5,239,0
Consultant,22,Sales,Medium,Office,5,7,10,256,0
Executive,1,Sales,High,Office,40,8,2,258,0
Director,12,Marketing,High,Remote,35,6,5,105,0
Manager,7,Sales,High,Remote,38,0,9,209,0
Manager,24,Marketing,Low,Office,86,3,7,106,0
Consultant,20,Engineering,High,Remote,92,3,6,196,0
Executive,30,Sales,High,Remote,29,9,0,209,0
Director,19,Engineering,High,Remote,85,2,5,112,0
Director,15,Sales,Low,Office,56,3,0,162,0
Manager,3,Sales,Medium,Office,10,8,3,123,0
Consultant,28,Engineering,Low,Remote,89,0,9,193,0
Manager,15,Engineering,Low,Office,86,1,2,196,0
Manager,19,Marketing,High,Office,2,6,6,183,0
Consultant,5,Marketing,Medium,Remote,47,8,1,118,0
Executive,26,Engineering,High,Office,5,6,3,182,0
Director,3,Sales,High,Remote,6,0,4,187,0
Executive,15,Marketing,Low,Office,43,6,1,168,0
Assistant,22,Sales,Low,Remote,60,5,8,249,0
Assistant,22,Customer Support,Low,Remote,53,0,1,159,0
Assistant,20,Marketing,High,Remote,50,0,5,121,0
Consultant,12,Marketing,Medium,Office,85,1,7,191,0
Manager,4,Marketing,Medium,Remote,47,5,6,244,0
Executive,14,Customer Support,High,Office,60,3,5,194,0
Director,25,Engineering,Medium,Remote,96,3,7,274,1
Assistant,7,Sales,High,Office,39,5,4,234,0
Executive,6,Customer Support,Medium,Remote,2,8,9,244,0
Assistant,13,Engineering,High,Remote,29,0,8,289,0
Assistant,6,Marketing,Medium,Office,23,1,1,290,0
Director,21,Engineering,Low,Remote,66,7,5,234,0
Consultant,6,Engineering,Low,Remote,1,7,9,128,0
Manager,22,Engineering,Low,Office,43,10,10,299,1
Consultant,25,Sales,Low,Office,39,10,6,103,0
Executive,29,Engineering,High,Remote,18,5,8,203,0
Consultant,17,Engineering,Medium,Remote,62,5,4,217,0
Executive,29,Engineering,High,Office,23,7,5,115,0
Executive,9,Engineering,Low,Remote,49,1,8,179,0
Manager,17,Customer Support,Medium,Remote,19,1,9,185,0
Director,13,Customer Support,High,Office,56,0,5,174,0
Manager,9,Engineering,Low,Remote,49,5,10,286,0
Consultant,6,Engineering,Medium,Remote,94,5,0,140,0
Executive,29,Engineering,Medium,Office,57,5,3,159,0
Assistant,25,Marketing,Low,Remote,30,10,3,296,1
Assistant,6,Engineering,Low,Remote,36,1,2,157,0
Executive,6,Engineering,Medium,Remote,92,6,7,211,0
Manager,4,Customer Support,Low,Remote,3,2,5,139,0
Director,0,Customer Support,High,Remote,57,0,6,157,0
Manager,13,Customer Support,Low,Office,9,0,8,288,0
Executive,17,Sales,Low,Remote,62,8,7,272,1
Executive,12,Marketing,Low,Remote,35,2,2,176,0
Director,24,Engineering,Medium,Office,54,7,3,147,0
Consultant,7,Customer Support,Medium,Remote,98,9,0,189,0
Consultant,7,Sales,Low,Remote,56,6,3,110,0
Director,9,Engineering,Medium,Remote,84,1,8,155,0
Consultant,16,Engineering,Low,Office,42,1,4,122,0
Assistant,5,Customer Support,High,Remote,64,3,2,132,0
Consultant,14,Engineering,Medium,Office,11,1,1,279,0
Consultant,14,Engineering,Low,Office,61,4,5,215,0
Consultant,24,Engineering,Medium,Remote,23,9,3,127,0
Assistant,15,Customer Support,High,Office,1,6,5,214,0
Consultant,30,Sales,High,Office,46,1,2,231,0
Assistant,7,Engineering,Low,Office,55,8,2,278,0
Director,18,Sales,Medium,Office,83,0,0,237,0
Manager,19,Engineering,High,Remote,15,1,8,151,0
Director,14,Customer Support,Medium,Remote,33,6,6,299,0
Manager,2,Sales,Low,Remote,76,4,8,108,0
Director,5,Customer Support,High,Remote,17,0,10,117,0
Manager,29,Marketing,High,Office,28,3,0,293,0
Manager,24,Engineering,Medium,Remote,53,7,7,181,0
Executive,30,Marketing,High,Remote,50,4,1,267,0
Manager,7,Marketing,Low,Office,13,1,2,165,0
Manager,30,Marketing,Low,Remote,93,8,0,121,0
Executive,15,Engineering,High,Office,57,0,6,179,0
Consultant,14,Customer Support,Low,Remote,34,0,10,200,0
Consultant,12,Marketing,High,Remote,8,9,4,195,0
Executive,25,Sales,High,Remote,36,4,10,173,0
Assistant,19,Engineering,High,Office,11,8,2,204,0
Manager,14,Customer Support,High,Remote,84,5,3,261,0
Manager,17,Customer Support,Medium,Remote,81,4,9,275,1
Executive,12,Marketing,High,Office,10,5,5,115,0
Executive,23,Engineering,Low,Remote,26,5,5,148,0
Assistant,7,Marketing,Medium,Remote,87,8,1,197,0
Consultant,13,Sales,Low,Office,42,8,6,200,0
Director,27,Customer Support,High,Office,49,4,1,162,0
Consultant,10,Customer Support,Low,Remote,97,3,8,267,1
Manager,5,Engineering,Medium,Office,19,0,1,155,0
Executive,29,Customer Support,Low,Office,12,5,4,197,0
Assistant,23,Engineering,Medium,Office,46,6,7,207,0
Consultant,24,Marketing,High,Remote,7,6,7,176,0
Assistant,28,Sales,High,Remote,100,0,10,275,1
Consultant,0,Engineering,Low,Office,68,5,3,136,0
Manager,24,Marketing,Low,Office,70,7,6,239,1
Director,1,Sales,High,Remote,63,2,7,192,0
Assistant,29,Customer Support,High,Office,43,0,7,197,0
Assistant,12,Sales,Low,Office,11,6,4,131,0
Director,0,Sales,High,Remote,3,3,9,207,0
Assistant,23,Sales,Medium,Remote,39,4,1,250,0
Assistant,23,Customer Support,Medium,Remote,18,1,1,173,0
Consultant,26,Engineering,Low,Office,53,6,4,171,0
Consultant,3,Engineering,Low,Office,0,0,3,120,0
Director,23,Sales,High,Office,12,3,3,239,0
Manager,22,Marketing,High,Remote,49,7,2,276,0
Assistant,28,Marketing,Medium,Office,52,6,8,202,0
Manager,1,Sales,Low,Remote,41,6,7,274,0
Director,20,Sales,Low,Remote,24,6,3,197,0
Director,29,Marketing,Low,Office,43,4,6,161,0
Consultant,25,Sales,Low,Remote,97,10,7,137,0
Assistant,19,Sales,Medium,Office,98,9,5,197,0
Executive,15,Engineering,Medium,Office,60,2,1,209,0
Director,2,Engineering,Low,Remote,80,9,7,253,0
Assistant,16,Sales,Medium,Office,89,6,2,139,0
Manager,4,Sales,Low,Remote,20,7,3,243,0
Consultant,25,Customer Support,Medium,Remote,50,6,3,118,0
Manager,7,Engineering,High,Remote,75,5,6,277,0
Director,11,Sales,Medium,Office,79,8,7,283,1
Director,24,Customer Support,Low,Office,51,10,8,128,0
Manager,22,Customer Support,High,Office,62,5,0,208,0
Director,11,Customer Support,Low,Remote,83,4,0,265,0
Assistant,26,Customer Support,High,Remote,53,10,6,288,1
